,cinahl_no,medline_no,cinahl_title,medline_title,cinahl_author,medline_author,not_dup
62,104,31449,Common variants in the ATP-sensitive K+ channel genes KCNJ11(Kir6.2) and ABCC8(SUR1) in relation to glucose intolerance: population-based studies and meta-analyses.,Common variants in the ATP-sensitive K+ channel genes KCNJ11 (Kir6.2) and ABCC8 (SUR1) in relation to glucose intolerance: population-based studies and meta-analyses.,"van Dam RM; Hoebee B; Seidell JC; Schaap MM; de Bruin TWA; Feskens EJM; Diabetic Medicine, 2005 May; 22 (5): 590-8. (journal article - research, systematic review, tables/charts) ISSN: 0742-3071 PMID: 15842514 CINAHL AN: 200934411","van Dam RM(1), Hoebee B, Seidell JC, Schaap MM, de Bruin TW, Feskens EJ.",
63,105,31460,Intravenous magnesium for prevention of atrial fibrillation after coronary artery bypass surgery: a systematic review and meta-analysis.,Intravenous magnesium for prevention of atrial fibrillation after coronary artery bypass surgery: a systematic review and meta-analysis.,"Alghamdi AA; Al-Radi OO; Latter DA; Journal of Cardiac Surgery, 2005 May-Jun; 20 (3): 293-9. (journal article - research, systematic review, tables/charts) ISSN: 0886-0440 PMID: 15854101 CINAHL AN: 200907778","Alghamdi AA(1), Al-Radi OO, Latter DA.",
64,106,31465,Does nocturnal blood pressure fall in people of African and South Asian descent differ from that in European white populations? A systematic review and meta-analysis.,Does nocturnal blood pressure fall in people of African and South Asian descent differ from that in European white populations? A systematic review and meta-analysis.,"Agyemang C; Bhopal R; Bruijnzeels M; Redekop WK; Journal of Hypertension, 2005 May; 23 (5): 913-20. (journal article - research, systematic review, tables/charts) ISSN: 0263-6352 PMID: 15834272 CINAHL AN: 200912732","Agyemang C(1), Bhopal R, Bruijnzeels M, Redekop WK.",
65,107,31464,Blood pressure response to chronic intake of coffee and caffeine: a meta-analysis of randomized controlled trials.,Blood pressure response to chronic intake of coffee and caffeine: a meta-analysis of randomized controlled trials.,"Noordzij M; Uiterwaal CSP; Arends LR; Kok FJ; Grobbee DE; Geleijnse JM; Journal of Hypertension, 2005 May; 23 (5): 921-8. (journal article - equations & formulas, research, systematic review, tables/charts) ISSN: 0263-6352 PMID: 15834273 CINAHL AN: 200912733","Noordzij M(1), Uiterwaal CS, Arends LR, Kok FJ, Grobbee DE, Geleijnse JM.",
66,109,31471,Efficacy of advanced dressings in the treatment of pressure ulcers: a systematic review.,Efficacy of advanced dressings in the treatment of pressure ulcers: a systematic  review.,"Bouza C; Saz Z; MuÃ±oz A; Amate JM; Journal of Wound Care, 2005 May; 14 (5): 193-9. (journal article - research, systematic review, tables/charts) ISSN: 0969-0700 PMID: 15909431 CINAHL AN: 200900156","Bouza C(1), Saz Z, MuÃ±oz A, Amate JM.",
67,111,31419,Meta-analysis: accuracy of rapid tests for malaria in travelers returning from endemic areas.,Meta-analysis: accuracy of rapid tests for malaria in travelers returning from endemic areas.,"Marx A; Pewsner D; Egger M; NÃ_esch R; Bucher HC; Genton B; Hatz C; JÃ_ni P; Annals of Internal Medicine, 2005 May 17; 142 (10): 836-46. (journal article - consumer/patient teaching materials, research, systematic review, tables/charts) ISSN: 0003-4819 PMID: 15897534 CINAHL AN: 200903215","Marx A(1), Pewsner D, Egger M, NÃ_esch R, Bucher HC, Genton B, Hatz C, JÃ_ni P.",
68,113,31351,A better widget? Three lessons for improving addiction treatment from a meta-analytical study.,A better widget? Three lessons for improving addiction treatment from a meta-analytical study.,"Berglund M; Addiction, 2005 Jun; 100 (6): 742-50. (journal article - research, systematic review, tables/charts) ISSN: 0965-2140 PMID: 15918803 CINAHL AN: 200510755",Berglund M(1).,
69,114,31352,Does effect size in naltrexone trials for alcohol dependence differ for single-site vs. multi-center studies?,Does effect size in naltrexone trials for alcohol dependence differ for single-site vs. multi-center studies?,"Feinn R; Kranzler HR; Alcoholism: Clinical & Experimental Research, 2005 Jun; 29 (6): 983-8. (journal article - equations & formulas, research, systematic review, tables/charts) ISSN: 0145-6008 PMID: 15976524 CINAHL AN: 200924117","Feinn R(1), Kranzler HR.",
70,115,31354,Mortality in offspring of parents with psychotic disorders: a critical review and meta-analysis.,Mortality in offspring of parents with psychotic disorders: a critical review and meta-analysis.,"Webb R; Abel K; Pickles A; Appleby L; American Journal of Psychiatry, 2005 Jun; 162 (6): 1045-65. (journal article - research, systematic review, tables/charts) ISSN: 0002-953X PMID: 15930050 CINAHL AN: 200901777","Webb R(1), Abel K, Pickles A, Appleby L.",
71,117,31365,The relationship between reduced lung function and cardiovascular mortality: a population-based study and a systematic review of the literature.,The relationship between reduced lung function and cardiovascular mortality: a population-based study and a systematic review of the literature.,"Sin DD; Wu L; Man SFP; CHEST, 2005 Jun; 127 (6): 1952-9. (journal article - research, systematic review, tables/charts) ISSN: 0012-3692 PMID: 15947307 CINAHL AN: 200934422","Sin DD(1), Wu L, Man SF.",
72,121,31368,Analgesia and sedation during mechanical ventilation in neonates.,Analgesia and sedation during mechanical ventilation in neonates.,"Aranda JV; Carlo W; Hummel P; Thomas R; Lehr VT; Anand KJS; Clinical Therapeutics, 2005 Jun; 27 (6): 877-99. (journal article - research, systematic review, tables/charts) ISSN: 0149-2918 PMID: 16117990 CINAHL AN: 200920277","Aranda JV(1), Carlo W, Hummel P, Thomas R, Lehr VT, Anand KJ.",
73,123,31402,Primary operative versus nonoperative therapy for pediatric empyema: a meta-analysis.,Primary operative versus nonoperative therapy for pediatric empyema: a meta-analysis.,"Avansino JR; Goldman B; Sawin RS; Flum DR; Pediatrics, 2005 Jun; 115 (6): 1652-9. (journal article - research, systematic review, tables/charts) ISSN: 0031-4005 PMID: 15930229 CINAHL AN: 200901981","Avansino JR(1), Goldman B, Sawin RS, Flum DR.",
74,125,31337,Colony-stimulating factors for chemotherapy-induced febrile neutropenia: a meta-analysis of randomized controlled trials.,Colony-stimulating factors for chemotherapy-induced febrile neutropenia: a meta-analysis of randomized controlled trials.,"Clark OAC; Lyman GH; Castro AA; Clark LGO; Djulbegovic B; Journal of Clinical Oncology, 2005 Jun 20; 23 (18): 4198-214. (journal article - research, systematic review, tables/charts) ISSN: 0732-183X PMID: 15961767 CINAHL AN: 200914550","Clark OA(1), Lyman GH, Castro AA, Clark LG, Djulbegovic B.",
75,127,31272,Perinatal outcomes of in vitro fertilization twins: a systematic review and meta-analyses.,Perinatal outcomes of in vitro fertilization twins: a systematic review and meta-analyses.,"McDonald S; Murphy K; Beyene J; Ohlsson A; American Journal of Obstetrics & Gynecology, 2005 Jul; 193 (1): 141-52. (journal article - research, systematic review, tables/charts) ISSN: 0002-9378 PMID: 16021072 CINAHL AN: 200512644","McDonald S(1), Murphy K, Beyene J, Ohlsson A.",
76,128,31276,Aminoglycoside extended interval dosing in neonates is safe and effective: a meta-analysis.,Aminoglycoside extended interval dosing in neonates is safe and effective: a meta-analysis.,"Nestaas E; Bangstad H; Sandvik L; Wathne K; Archives of Disease in Childhood -- Fetal & Neonatal Edition, 2005 Jul; 90 (4): F294-300. (journal article - research, systematic review, tables/charts) ISSN: 1359-2998 PMID: 15857879 CINAHL AN: 200512208","Nestaas E(1), Bangstad HJ, Sandvik L, Wathne KO.",
77,132,31285,Interferon-gamma1b therapy in idiopathic pulmonary fibrosis: a metaanalysis.,Interferon-gamma1b therapy in idiopathic pulmonary fibrosis: a metaanalysis.,"Bajwa EK; Ayas NT; Schulzer M; Mak E; Ryu JH; Malhotra A; CHEST, 2005 Jul; 128 (1): 203-6. (journal article - research, systematic review, tables/charts) ISSN: 0012-3692 PMID: 16002936 CINAHL AN: 200948560","Bajwa EK(1), Ayas NT, Schulzer M, Mak E, Ryu JH, Malhotra A.",
78,133,31288,Lipid altering-efficacy of ezetimibe co-administered with simvastatin compared with rosuvastatin: a meta-analysis of pooled data from 14 clinical trials.,Lipid altering-efficacy of ezetimibe co-administered with simvastatin compared with rosuvastatin: a meta-analysis of pooled data from 14 clinical trials.,"Catapano A; Brady WE; King TR; Palmisano J; Current Medical Research & Opinion, 2005 Jul; 21 (7): 1123-30. (journal article - research, systematic review, tables/charts) ISSN: 0300-7995 PMID: 16004682 CINAHL AN: 200902376","Catapano A(1), Brady WE, King TR, Palmisano J.",
79,134,31301,Graduated compression stockings as prophylaxis for flight-related venous thrombosis: systematic literature review.,Graduated compression stockings as prophylaxis for flight-related venous thrombosis: systematic literature review.,"Hsieh H; Lee F; Journal of Advanced Nursing, 2005 Jul; 51 (1): 83-98. (journal article - equations & formulas, research, systematic review, tables/charts) ISSN: 0309-2402 PMID: 15941464 CINAHL AN: 200511595","Hsieh HF(1), Lee FP.",
80,136,31311,Hernias and Ewing's sarcoma family of tumours: a pooled analysis and meta-analysis.,Hernias and Ewing's sarcoma family of tumours: a pooled analysis and meta-analysis.,"Valery PC; Holly EA; Sleigh AC; Williams G; Kreiger N; Bain C; Lancet Oncology, 2005 Jul; 6 (7): 485-90. (journal article - pictorial, research, systematic review, tables/charts) ISSN: 1470-2045 PMID: 15992697 CINAHL AN: 200903124","Valery PC(1), Holly EA, Sleigh AC, Williams G, Kreiger N, Bain C.",
81,137,31313,A meta-analysis on data from 575 patients with multiple myeloma randomly assigned to either high-dose therapy or conventional therapy.,A meta-analysis on data from 575 patients with multiple myeloma randomly assigned to either high-dose therapy or conventional therapy.,"LÃ©vy V; Katsahian S; Fermand JP; Mary JY; Chevret S; Medicine, 2005 Jul; 84 (4): 250-60. (journal article - research, systematic review, tables/charts) ISSN: 0025-7974 PMID: 16010209 CINAHL AN: 200512653","LÃ©vy V(1), Katsahian S, Fermand JP, Mary JY, Chevret S.",
82,139,31404,Tests of executive functions in first-degree relatives of schizophrenic patients: a meta-analysis.,Tests of executive functions in first-degree relatives of schizophrenic patients: a meta-analysis.,"SzÃ¶ke A; SchÃ_rhoff F; Mathieu F; Meary A; Ionescu S; Leboyer M; Psychological Medicine, 2005 Jun; 35 (6): 771-82. (journal article - research, systematic review, tables/charts) ISSN: 0033-2917 PMID: 15997598 CINAHL AN: 200902527","SzÃ¶ke A(1), SchÃ_rhoff F, Mathieu F, Meary A, Ionescu S, Leboyer M.",
83,145,31179,A meta-analysis of interventions to improve care for chronic illnesses.,A meta-analysis of interventions to improve care for chronic illnesses.,"Tsai AC; Morton SC; Mangione CM; Keeler EB; American Journal of Managed Care, 2005 Aug; 11 (8): 478-88. (journal article - research, systematic review, tables/charts) ISSN: 1088-0224 PMID: 16095434 CINAHL AN: 200904119","Tsai AC(1), Morton SC, Mangione CM, Keeler EB.",
84,146,31184,Circumcision for the prevention of urinary tract infection in boys: a systematic review of randomised trials and observational studies.,Circumcision for the prevention of urinary tract infection in boys: a systematic  review of randomised trials and observational studies.,"Singh-Grewal D; Macdessi J; Craig J; Archives of Disease in Childhood, 2005 Aug; 90 (8): 853-8. (journal article - research, systematic review, tables/charts) ISSN: 0003-9888 PMID: 15890696 CINAHL AN: 200904264","Singh-Grewal D(1), Macdessi J, Craig J.",
85,149,31220,Resting heart rate changes after endurance training in older adults: a meta-analysis.,Resting heart rate changes after endurance training in older adults: a meta-analysis.,"Huang G; Shi X; Davis-Brezette JA; Osness WH; Medicine & Science in Sports & Exercise, 2005 Aug; 37 (8): 1381-6. (journal article - research, systematic review, tables/charts) ISSN: 0195-9131 PMID: 16118586 CINAHL AN: 200909161","Huang G(1), Shi X, Davis-Brezette JA, Osness WH.",
86,152,31174,Meta-analysis: obesity and the risk for gastroesophageal reflux disease and its complications.,Meta-analysis: obesity and the risk for gastroesophageal reflux disease and its complications.,"Hampel H; Abraham NS; El-Serag HB; Annals of Internal Medicine, 2005 Aug 2; 143 (3): 199-211. (journal article - research, systematic review, tables/charts) ISSN: 0003-4819 PMID: 16061918 CINAHL AN: 200903204","Hampel H(1), Abraham NS, El-Serag HB.",
87,153,31206,Nursing and cancer support groups.,Nursing and cancer support groups.,"Zabalegui A; Sanchez S; Sanchez PD; Juando C; Journal of Advanced Nursing, 2005 Aug; 51 (4): 369-81. (journal article - research, systematic review, tables/charts) ISSN: 0309-2402 PMID: 16086806 CINAHL AN: 200902328","Zabalegui A(1), Sanchez S, Sanchez PD, Juando C.",
88,155,31089,Duration of breastfeeding and risk of overweight: a meta-analysis.,Duration of breastfeeding and risk of overweight: a meta-analysis.,"Harder T; Bergmann R; Kallischnigg G; Plagemann A; American Journal of Epidemiology, 2005 Sep 1; 162 (5): 397-403. (journal article - research, systematic review, tables/charts) ISSN: 0002-9262 PMID: 16076830 CINAHL AN: 200914680","Harder T(1), Bergmann R, Kallischnigg G, Plagemann A.",
89,156,31091,The effect of bright light therapy on depression associated with premenstrual dysphoric disorder.,The effect of bright light therapy on depression associated with premenstrual dysphoric disorder.,"Krasnik C; Montori VM; Guyatt GH; Heels-Ansdell D; Busse JW; Medically Unexplained Syndromes Study Group; American Journal of Obstetrics & Gynecology, 2005 Sep; 193 (3 Part 1): 658-61. (journal article - research, systematic review, tables/charts) ISSN: 0002-9378 PMID: 16150256 CINAHL AN: 200903757","Krasnik C(1), Montori VM, Guyatt GH, Heels-Ansdell D, Busse JW; Medically Unexplained Syndromes Study Group.",
90,157,31100,What is the long term outcome for children who fail to thrive? A systematic review.,What is the long term outcome for children who fail to thrive? A systematic review.,"Rudolf MCJ; Logan S; Archives of Disease in Childhood, 2005 Sep; 90 (9): 925-31. (journal article - research, systematic review, tables/charts) ISSN: 0003-9888 PMID: 15890695 CINAHL AN: 200904273","Rudolf MC(1), Logan S.",
91,159,31111,Fluconazole prophylaxis in critically ill surgical patients: a meta-analysis.,Fluconazole prophylaxis in critically ill surgical patients: a meta-analysis.,"Shorr AF; Chung K; Jackson WL; Waterman PE; Kollef MH; Critical Care Medicine, 2005 Sep; 33 (9): 1928-36. (journal article - CEU, exam questions, research, systematic review, tables/charts) ISSN: 0090-3493 PMID: 16148461 CINAHL AN: 200908793","Shorr AF(1), Chung K, Jackson WL, Waterman PE, Kollef MH.",
92,161,31127,Chinese herbal medicine and chemotherapy in the treatment of hepatocellular carcinoma: a meta-analysis of randomized controlled trials.,Chinese herbal medicine and chemotherapy in the treatment of hepatocellular carcinoma: a meta-analysis of randomized controlled trials.,"Shu X; McCulloch M; Xiao H; Broffman M; Gao J; Integrative Cancer Therapies, 2005 Sep; 4 (3): 219-29. (journal article - research, systematic review, tables/charts) ISSN: 1534-7354 PMID: 16113029 CINAHL AN: 200902214","Shu X(1), McCulloch M, Xiao H, Broffman M, Gao J.",
93,163,31132,Cost-effectiveness of immunoglobulin M-enriched immunoglobulin (Pentaglobin) in the treatment of severe sepsis and septic shock.,Cost-effectiveness of immunoglobulin M-enriched immunoglobulin (Pentaglobin) in the treatment of severe sepsis and septic shock.,"Neilson AR; Burchardi H; Schneider H; Journal of Critical Care, 2005 Sep; 20 (3): 239-49. (journal article - research, systematic review, tables/charts) ISSN: 0883-9441 PMID: 16253792 CINAHL AN: 200918213","Neilson AR(1), Burchardi H, Schneider H.",
